gid,geom,nombre_vol,pais,altitud,num_regist,num_hoja,nombre_hoj,ficha,zona_afect,danos_mat_,des_da_mat,tipos_da_m,perdidas_e,muertos,heridos,fecha_inic,fecha_fin,volumen_ma,tipo_volca,actividad,altura,espesor_ma,indice_exp,tipo_erupc,num_erupci,mat_expuls,composicio,composici0,fact_pelig,fact_peli0,fact_peli1,fact_peli2,fuente
1,POINT(-72.1159999999999 -40.5829999999999),Cord,Chile,0,1,44-,OSORNO,44 V 1,,Ca da de tefra en la zona de Bariloche y Villa La Angostura. Derrame de coladas en Chile.,Ca da de tefra en la zona de Bariloche y Villa La Angostura. Derrame de coladas en Chile.,No definido,,,,24/3/1960,//,,Estratovolc,Activo hist,1122,0,0,Explosiva (si predomina la eyecciln de tefras),,,,,1,0,0,0,SEGEMAR
2,POINT(-72.1159999999999 -40.5829999999999),Cordon Caulle,Chile,0,1,44-,OSORNO,44 V 1,,,,No definido,,,,//1759,//,,,Activo hist,1122,0,0,,,,,,0,0,0,0,SEGEMAR
3,POINT(-72.1159999999999 -40.5829999999999),Cordvn Caulle,Chile,0,1,44-,OSORNO,44 V 1,"En Argentina, adem s de Bariloche y Villa La Angostura, afectD a Pilcaniyeu, Ingeniero Jacobacci, San Mart","Ca da de tefra tamaso lapilli de hasta 6 cm en el Paso Samort, lapilli fino en Villa La Angostura y ceniza gruesa en Bariloche. En Villa La Angostura y Bariloche, las cenizas cubrieron los techos y las calles, las autoridades aconsejaron que la poblaci","Ca da de tefra tamaso lapilli de hasta 6 cm en el Paso Samort, lapilli fino en Villa La Angostura y ceniza gruesa en Bariloche. En Villa La Angostura y Bariloche, las cenizas cubrieron los techos y las calles, las autoridades aconsejaron que la poblaci","Corte u obstruccimn de vpas de comunicacicn (rutas, caminos, puentes, ferrocarriles), DaAos sobre infraestructura urbana (viviendas, industrias, servicios plblicos, etc), Dasos sobre la produccisn (ganado, cultivos), Daios sobre tendidos (leneas de alta",no determinadas,0,0,4/6/2011,/9/2012,,Estratovolcan,Activo histarico,1122,0,3,Explosiva (si predomina la eyeccimn de tefras),,,,,1,0,0,0,SEGEMAR
4,POINT(-72.1159999999999 -40.5829999999999),Cordon Caulle,Chile,0,1,44-,OSORNO,44 V 1,,,,No definido,,,,//1921,//,,,Activo hist,1122,0,0,,,,,,0,0,0,0,SEGEMAR
5,POINT(-72.1159999999999 -40.5829999999999),Cordvn Caulle,Chile,0,1,44-,OSORNO,44 V 1,,,,No definido,,,,//1893,//,,,Activo hist,1122,0,0,,,,,,0,0,0,0,SEGEMAR
6,POINT(-72.1159999999999 -40.5829999999999),Cordvn Caulle,Chile,0,1,44-,OSORNO,44 V 1,,,,No definido,,,,//1990,//,,,Activo hist,1122,0,0,,,,,,0,0,0,0,SEGEMAR
7,POINT(-69.2599999999999 -36.4099999999999),Payun Matru,Argentina,0,1,3769-I,BARRANCAS,3769I V 1,,,,No definido,,,,//,//,,,Activo Prehistcrico,3400,0,0,,,,,,0,0,0,0,SEGEMAR
8,POINT(-70.5699999999999 -35.24),Peteroa,Argentina/Chile,4107,1,3569-III,MALARGUE,3569III V 1,,,,No definido,,,,//1986,//,,,Activo hist,3603,0,0,,,,,,0,0,0,0,SEGEMAR
9,POINT(-70.5699999999999 -35.24),,Argentina/Chile,4107,1,3569-III,MALARGUE,3569III V 1,,,,No definido,no determinadas,no se sabe,no determinado,3/12/1762,//,,Estratovolcan,Activo histarico,0,0,0,Explosiva (si predomina la eyeccimn de tefras),,,,,0,0,0,0,SEGEMAR
10,POINT(-70.5699999999999 -35.24),Peteroa,Argentina/Chile,4107,1,3569-III,MALARGUE,3569III V 1,,,,No definido,no determinadas,no se sabe,no determinado,//1889,//1894,,,Activo histarico,3603,0,0,,,,,,0,1,0,0,SEGEMAR
