gid,nombre,latitud,longitud,altura,nro,nro_oaci,fuente
1,Base Belgrano II,-77.86666667,-34.63333333,256,89034,SAYB,SMN
2,Base Carlini (Ex Jubany),-62.23333333,-58.66666667,11,89053,SAYJ,SMN
3,Base Esperanza,-63.4,-57,24,88963,SAYE,SMN
4,Base Marambio,-64.23333333,-56.63333333,198,89055,SAWB,SMN
5,Base Orcadas,-60.73333333,-44.73333333,12,88968,SAYO,SMN
6,Base San Martín,-68.13333333,-67.1,7,89066,SAYS,SMN
7,Azul Aéro,-36.83333333,-59.88333333,147,87641,SAZA,SMN
8,Bahía Blanca Aéro,-38.71666667,-62.16666667,83,87750,SAZB,SMN
9,Benito Juarez Aéro,-37.7,-59.78333333,207,87649,SAZJ,SMN
10,Bolivar Aéro,-36.18333333,-61.06666667,94,87640,SAZI,SMN
11,Campo de Mayo Aéro,-34.53333333,-58.68333333,26,87570,SADO,SMN
12,Coronel Pringles Aéro,-38,-61.33333333,247,87683,SABP,SMN
13,Coronel Suarez Aéro,-37.45,-61.88333333,233,87637,SAZC,SMN
14,Dolores Aéro,-36.31666667,-57.71666667,9,87648,SAZD,SMN
15,El Palomar Aéro,-34.6,-58.61666667,12,87571,SADP,SMN
16,Ezeiza Aéro,-34.81666667,-58.55,20,87576,SAEZ,SMN
17,Junin Aéro,-34.55,-60.93333333,81,87548,SAAJ,SMN
18,La Plata Aéro,-34.96666667,-57.9,23,87593,SADL,SMN
19,Las Flores,-36.03333333,-59.13333333,36,87563,SAEL,SMN
20,Mar del Plata Aéro,-37.93333333,-57.58333333,21,87692,SAZM,SMN
21,Mariano Moreno Aéro,-34.55,-58.78333333,32,87572,SADJ,SMN
22,Merlo Aéro,-34.68333333,-58.75,36,87573,SADR,SMN
23,Moron Aéro,-34.66666667,-58.63333333,24,87574,SADM,SMN
24,Nueve de Julio,-35.43333333,-60.88333333,76,87550,SAZX,SMN
25,Olavarría Aéro,-36.88333333,-60.21666667,166,87643,SAZF,SMN
26,Pehuajó Aéro,-35.83333333,-61.86666667,87,87544,SAZP,SMN
27,Pigué Aéro,-37.6,-62.38333333,304,87679,SAZE,SMN
28,Punta Indio B.A.,-35.35,-57.3,22,87596,SAAI,SMN
29,San Fernando Aéro,-34.45,-58.58333333,3,87553,SADF,SMN
30,Tandil Aéro,-37.23333333,-59.23333333,175,87645,SAZT,SMN
31,Trenque Lauquen,-35.96666667,-62.73333333,95,87540,SAET,SMN
32,Tres Arroyos,-38.36666667,-60.28333333,115,87688,SAZH,SMN
33,Villa Gesell Aéro,-37.23333333,-57.01666667,9,87663,SAZV,SMN
34,Aeroparque Aéro,-34.56666667,-58.41666667,6,87582,SABE,SMN
35,Buenos Aires Observatorio,-34.58333333,-58.48333333,25,87585,SABA,SMN
36,Catamarca Aéro,-28.6,-65.75,464,87222,SANC,SMN
37,Tinogasta,-28.06666667,-67.56666667,1201,87211,SANI,SMN
38,Presidencia Roque Saenz Peña,-26.75,-60.48333333,93,87148,SARS,SMN
39,Resistencia Aéro,-27.43333333,-59.05,52,87155,SARE,SMN
40,Comodoro Rivadavia Aéro,-45.8,-67.46666667,46,87860,SAVC,SMN
41,Esquel Aéro,-42.9,-71.15,797,87803,SAVE,SMN
42,Paso de Indios,-43.7,-69.05,460,87814,SAVP,SMN
43,Puerto Madryn Aéro,-42.75,-65.1,136,87823,SAVY,SMN
44,Trelew Aéro,-43.21666667,-65.28333333,43,87828,SAVT,SMN
45,Cordoba Aéro,-31.3,-64.21666667,495,87344,SACO,SMN
46,Cordoba Observatorio,-31.41666667,-64.2,425,87345,SACK,SMN
47,Escuela de Aviacion Milita,-31.45,-64.28333333,502,87347,SACE,SMN
48,Laboulaye Aéro,-34.13333333,-63.36666667,137,87534,SAOL,SMN
49,Marcos Juarez Aéro,-32.68333333,-62.15,114,87467,SAOM,SMN
50,Pilar Observatorio,-31.66666667,-63.88333333,338,87349,SACI,SMN
51,Rio Cuarto Aéro,-33.1,-64.28333333,421,87453,SAOC,SMN
52,Villa De Maria Del Rio Seco,-29.9,-63.73333333,341,87244,SACV,SMN
53,Villa Dolores Aéro,-31.95,-65.15,566,87328,SAOD,SMN
54,Corrientes Aéro,-27.45,-58.76666667,62,87166,SARC,SMN
55,Ituzaingó,-27.58333333,-56.68333333,72,87173,SARO,SMN
56,Mercedes Aéro (Ctes),-29.23333333,-58.08333333,107,87281,SATM,SMN
57,Monte Caseros Aéro,-30.26666667,-57.63333333,54,87393,SARM,SMN
58,Paso de Los Libres Aéro,-29.68333333,-57.15,70,87289,SARL,SMN
59,Concordia Aéro,-31.3,-58,38,87395,SAAC,SMN
60,Gualeguaychú Aéro,-33.01666667,-58.61666667,23,87497,SAAG,SMN
61,Paraná Aéro,-31.78333333,-60.48333333,78,87374,SAAP,SMN
62,Formosa Aéro,-26.21666667,-58.23333333,60,87162,SARF,SMN
63,Las Lomitas,-24.7,-60.6,130,87078,SATK,SMN
64,Jujuy Aéro,-24.38333333,-65.1,907,87046,SASJ,SMN
65,Jujuy U N,-24.18333333,-65.33333333,1302,87043,,SMN
66,La Quiaca Observatorio,-22.1,-65.6,3459,87007,SASQ,SMN
67,General Pico Aéro,-35.68333333,-63.76666667,145,87532,SAZG,SMN
68,Santa Rosa Aéro,-36.6,-64.28333333,191,87623,SAZR,SMN
69,Victorica,-36.21666667,-65.43333333,312,87616,SAHV,SMN
70,Chamical Aéro,-30.35,-66.3,461,87320,SACT,SMN
71,Chepes,-31.33333333,-66.58333333,658,87322,SACP,SMN
72,Chilecito Aéro,-29.21666667,-67.45,947,87213,SANO,SMN
73,La Rioja Aéro,-29.38333333,-66.8,429,87217,SANL,SMN
74,Malargue Aéro,-35.48333333,-69.58333333,1425,87506,SAMM,SMN
75,Mendoza Aéro,-32.85,-68.8,704,87418,SAME,SMN
76,Mendoza Observatorio,-32.9,-68.86666667,827,87420,SAMK,SMN
77,San Carlos (Mza),-33.76666667,-69.05,940,87412,SAMS,SMN
78,San Martin (Mza),-33.06666667,-68.46666667,653,87416,SAMI,SMN
79,San Rafael Aéro,-34.58333333,-68.4,748,87509,SAMR,SMN
80,Uspallata,-32.6,-69.33333333,1891,87405,SAMU,SMN
81,Bernardo De Irigoyen Aéro,-26.28333333,-53.66666667,815,87163,SATI,SMN
82,Iguazú Aéro,-25.73333333,-54.48333333,270,87097,SARI,SMN
83,Oberá,-27.48333333,-55.13333333,303,87187,SATO,SMN
84,Posadas Aéro,-27.38333333,-55.96666667,125,87178,SARP,SMN
85,Chapelco Aéro,-40.08333333,-71.15,779,87761,SAZY,SMN
86,Neuquén Aéro,-38.95,-68.13333333,271,87715,SAZN,SMN
87,Bariloche Aéro,-41.15,-71.16666667,835,87765,SAZS,SMN
88,Cipolletti,-38.93333333,-67.98333333,265,87719,SAHI,SMN
89,El Bolson Aéro,-41.95,-71.53333333,337,87800,SAVB,SMN
90,Maquinchao,-41.25,-68.7,888,87774,SAVQ,SMN
91,Rio Colorado,-38.98333333,-64.08333333,79,87736,SAZQ,SMN
92,San Antonio Oeste Aéro,-40.75,-65.03333333,20,87784,SAVN,SMN
93,Viedma Aéro,-40.86666667,-63,7,87791,SAVV,SMN
94,Metán,-25.51666667,-64.96666667,855,87050,SASM,SMN
95,Orán Aéro,-23.15,-64.33333333,357,87016,SASO,SMN
96,Rivadavia,-24.18333333,-62.88333333,205,87065,SASR,SMN
97,Salta Aéro,-24.85,-65.48333333,1221,87047,SASA,SMN
98,Tartagal Aéro,-22.61666667,-63.8,450,87022,SAST,SMN
99,Jachal,-30.23333333,-68.73333333,1175,87305,SAMJ,SMN
100,San Juan Aéro,-31.56666667,-68.41666667,598,87311,SANU,SMN
101,San Luis Aéro,-33.26666667,-66.35,713,87436,SAOU,SMN
102,Santa Rosa De Conlara Aéro,-32.38333333,-65.18333333,620,87444,SAOS,SMN
103,Villa Reynolds Aéro,-33.71666667,-65.36666667,486,87448,SAOR,SMN
104,El Calafate Aéro,-50.28333333,-72.05,204,87904,SAWC,SMN
105,Gobernador Gregores Aéro,-48.78333333,-70.16666667,358,87880,SAWR,SMN
106,Perito Moreno Aéro,-46.53333333,-70.98333333,429,87852,SAWP,SMN
107,Puerto Deseado Aéro,-47.73333333,-65.9,80,87896,SAWD,SMN
108,Rio Gallegos Aéro,-51.61666667,-69.3,19,87925,SAWG,SMN
109,San Julian Aéro,-49.3,-67.8,62,87909,SAWJ,SMN
110,Santa Cruz Aéro,-50.01666667,-68.58333333,111,87912,SAWU,SMN
111,Ceres Aéro,-29.88333333,-61.93333333,88,87257,SANW,SMN
112,El Trebol,-32.2,-61.71666667,96,87470,SAFT,SMN
113,Rafaela Aéro,-31.28333333,-61.51666667,99,87360,SAFR,SMN
114,Reconquista Aéro,-29.2,-59.7,53,87270,SATR,SMN
115,Rosario Aéro,-32.9,-60.78333333,25,87480,SAAR,SMN
116,Sauce Viejo Aéro,-31.7,-60.8,18,87371,SAAV,SMN
117,Sunchales Aéro,-30.95,-61.53333333,92,87356,SAFS,SMN
118,Venado Tuerto Aéro,-33.68333333,-61.96666667,112,87468,SAFV,SMN
119,Santiago Del Estero Aéro,-27.75,-64.3,199,87129,SANE,SMN
120,Termas De Rio Hondo Aéro,-27.5,-64.93333333,280,87127,SANR,SMN
121,Rio Grande B.A.,-53.78333333,-67.76666667,22,87934,SAWE,SMN
122,Ushuaia Aéro,-54.83333333,-68.3,57,87938,SAWH,SMN
123,Tucumán Aéro,-26.83333333,-65.11666667,450,87121,SANT,SMN
